trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
532	1	1	0	0	-1.75	0	210	80	24	1
533	1	1	0	0	-1.75	0	330	80	4	1
534	1	1	0	0	-1.75	0	330	80	24	1
535	1	1	0	0	-1.75	0	210	80	24	1
536	1	1	0	0	-1.75	0	90	80	4	1
537	1	1	0	0	-1.75	0	210	80	24	1
538	1	1	0	0	-1.75	0	330	80	24	1
539	1	1	0	0	-1.75	0	90	80	4	1
540	1	1	0	0	-1.75	0	330	80	4	1
541	1	1	0	0	-1.75	0	210	80	24	1
542	1	1	0	0	-1.75	0	90	80	4	1
543	1	1	0	0	-1.75	0	90	80	4	1
544	1	1	0	0	-1.75	0	330	80	4	1
545	1	1	0	0	-1.75	0	210	80	24	1
546	1	1	0	0	-1.75	0	90	80	4	1
547	1	1	0	0	-1.75	0	330	80	24	1
548	1	1	0	0	-1.75	0	210	80	24	1
549	1	1	0	0	-1.75	0	90	80	4	1
550	1	1	0	0	-1.75	0	210	80	24	1
551	1	1	0	0	-1.75	0	330	80	24	1
552	1	1	0	0	-1.75	0	330	80	4	1
553	1	1	0	0	-1.75	0	90	80	4	1
